,name,company,year,Price,kms_driven,fuel_type,Transmission Type,No. of Previous Owners
0,Hyundai Santro Xing,Hyundai,2007,80000,45000,Petrol,Manual,1
1,Mahindra Jeep CL550,Mahindra,2006,425000,40,Diesel,Manual,2
2,Hyundai Grand i10,Hyundai,2014,325000,28000,Petrol,Automatic,3
3,Ford EcoSport Titanium,Ford,2014,575000,36000,Diesel,Manual,2
4,Ford Figo,Ford,2012,175000,41000,Diesel,Automatic,2
5,Hyundai Eon,Hyundai,2013,190000,25000,Petrol,Automatic,1
6,Ford EcoSport Ambiente,Ford,2016,830000,24530,Diesel,Manual,5
7,Maruti Suzuki Alto,Maruti,2015,250000,60000,Petrol,Automatic,1
8,Skoda Fabia Classic,Skoda,2010,182000,60000,Petrol,Manual,3
9,Maruti Suzuki Stingray,Maruti,2015,315000,30000,Petrol,Manual,4
10,Hyundai Elite i20,Hyundai,2014,415000,32000,Petrol,Automatic,5
11,Mahindra Scorpio SLE,Mahindra,2015,320000,48660,Diesel,Manual,4
12,Hyundai Santro Xing,Hyundai,2007,80000,45000,Petrol,Manual,5
13,Mahindra Jeep CL550,Mahindra,2006,425000,40,Diesel,Automatic,2
14,Audi A8,Audi,2017,1000000,4000,Petrol,Automatic,4
15,Audi Q7,Audi,2014,500000,16934,Diesel,Automatic,2
16,Mahindra Scorpio S10,Mahindra,2016,350000,43000,Diesel,Manual,3
17,Maruti Suzuki Alto,Maruti,2014,160000,35550,Petrol,Automatic,3
18,Mahindra Scorpio S10,Mahindra,2016,350000,43000,Diesel,Automatic,2
19,Mahindra Scorpio S10,Mahindra,2016,310000,39522,Diesel,Automatic,4
20,Maruti Suzuki Alto,Maruti,2015,75000,39000,Petrol,Automatic,5
21,Hyundai i20 Sportz,Hyundai,2012,100000,55000,Petrol,Automatic,1
22,Hyundai i20 Sportz,Hyundai,2012,100000,55000,Petrol,Automatic,3
23,Hyundai i20 Sportz,Hyundai,2012,100000,55000,Petrol,Automatic,5
24,Maruti Suzuki Alto,Maruti,2017,190000,72000,Petrol,Automatic,4
25,Maruti Suzuki Vitara,Maruti,2016,290000,15975,Diesel,Manual,1
26,Maruti Suzuki Alto,Maruti,2008,95000,70000,Petrol,Automatic,1
27,Mahindra Bolero DI,Mahindra,2017,180000,23452,Diesel,Automatic,4
28,Maruti Suzuki Swift,Maruti,2014,385000,35522,Diesel,Automatic,3
29,Mahindra Scorpio S10,Mahindra,2015,250000,48508,Diesel,Automatic,4
30,Maruti Suzuki Swift,Maruti,2017,180000,15487,Petrol,Automatic,1
31,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol,Manual,2
32,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol,Automatic,5
33,Toyota Innova 2.0,Toyota,2012,650000,82000,Diesel,Automatic,1
34,Renault Lodgy 85,Renault,2018,689999,20000,Diesel,Automatic,1
35,Skoda Yeti Ambition,Skoda,2012,448000,68000,Diesel,Automatic,5
36,Maruti Suzuki Baleno,Maruti,2017,549000,32000,Diesel,Automatic,1
37,Renault Duster 110,Renault,2012,501000,38000,Diesel,Manual,5
38,Renault Duster 85,Renault,2013,489999,27000,Diesel,Automatic,5
39,Honda City 1.5,Honda,2011,280000,33000,Petrol,Manual,3
40,Maruti Suzuki Alto,Maruti,2015,250000,60000,Petrol,Manual,5
41,Maruti Suzuki Dzire,Maruti,2013,349999,46000,Diesel,Manual,3
42,Honda Amaze,Honda,2013,284999,46000,Diesel,Manual,5
43,Honda Amaze 1.5,Honda,2015,345000,36000,Diesel,Automatic,3
44,Honda City,Honda,2015,499999,55000,Petrol,Manual,1
45,Datsun Redi GO,Datsun,2017,235000,16000,Petrol,Automatic,1
46,Maruti Suzuki SX4,Maruti,2010,249999,36000,Petrol,Automatic,2
47,Mitsubishi Pajero Sport,Mitsubishi,2015,1475000,47000,Diesel,Automatic,4
48,Mahindra Bolero DI,Mahindra,2017,180000,23452,Diesel,Manual,2
49,Maruti Suzuki Swift,Maruti,2014,385000,35522,Diesel,Automatic,5
50,Mahindra Scorpio S10,Mahindra,2015,250000,48508,Diesel,Automatic,4
51,Maruti Suzuki Swift,Maruti,2017,180000,15487,Petrol,Automatic,5
52,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol,Manual,4
53,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol,Automatic,1
54,Mahindra Scorpio S10,Mahindra,2015,395000,35000,Diesel,Manual,3
55,Maruti Suzuki Swift,Maruti,2017,220000,30874,Petrol,Manual,3
56,Honda City ZX,Honda,2017,170000,15000,Diesel,Automatic,1
57,Maruti Suzuki Wagon,Maruti,2013,85000,29685,Petrol,Automatic,5
58,Ford Figo,Ford,2012,175000,41000,Diesel,Manual,2
59,Hyundai Eon,Hyundai,2013,190000,25000,Petrol,Manual,4
60,Tata Indigo eCS,Tata,2017,200000,130000,Diesel,Manual,1
61,Ford EcoSport Ambiente,Ford,2016,830000,24530,Diesel,Manual,3
62,Tata Indigo eCS,Tata,2017,200000,130000,Diesel,Automatic,5
63,Mahindra Scorpio SLE,Mahindra,2012,570000,19000,Diesel,Automatic,2
64,Volkswagen Polo Highline,Volkswagen,2014,315000,60000,Petrol,Manual,3
65,Skoda Fabia Classic,Skoda,2010,182000,60000,Petrol,Manual,5
66,Maruti Suzuki Stingray,Maruti,2015,315000,30000,Petrol,Manual,3
67,Chevrolet Spark LS,Chevrolet,2010,110000,41000,Petrol,Manual,1
68,Renault Duster 110PS,Renault,2012,501000,35000,Diesel,Automatic,4
69,Honda City,Honda,2015,448999,54000,Petrol,Manual,4
70,Mini Cooper S,Mini,2013,1891111,13000,Petrol,Automatic,1
71,Datsun Redi GO,Datsun,2017,235000,16000,Petrol,Manual,4
72,Skoda Fabia 1.2L,Skoda,2011,159500,38200,Diesel,Manual,2
73,Honda Amaze,Honda,2015,344999,22000,Petrol,Automatic,5
74,Honda Amaze,Honda,2015,344999,22000,Petrol,Manual,3
75,Renault Duster,Renault,2014,449999,50000,Diesel,Automatic,1
76,Mini Cooper S,Mini,2013,1891111,13500,Petrol,Automatic,2
77,Mahindra Scorpio S4,Mahindra,2015,865000,30000,Diesel,Manual,4
78,Mahindra Scorpio VLX,Mahindra,2014,699000,50000,Diesel,Manual,4
79,Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel,Automatic,4
80,Ford EcoSport,Ford,2017,489999,39000,Petrol,Automatic,3
81,Honda Brio,Honda,2012,224999,30000,Petrol,Automatic,5
82,Volkswagen Vento Highline,Volkswagen,2019,1200000,3600,Diesel,Automatic,5
83,Hyundai i20 Magna,Hyundai,2009,195000,32000,Petrol,Automatic,4
84,Toyota Corolla Altis,Toyota,2010,351000,38000,Diesel,Manual,1
85,Hyundai Verna Transform,Hyundai,2008,160000,45000,Petrol,Automatic,2
86,Toyota Corolla Altis,Toyota,2009,240000,35000,Petrol,Manual,1
87,Honda City 1.5,Honda,2005,90000,50000,Petrol,Automatic,2
88,Hyundai Elite i20,Hyundai,2014,415000,32000,Petrol,Automatic,1
89,Skoda Fabia 1.2L,Skoda,2011,155000,45863,Diesel,Manual,2
90,BMW 3 Series,BMW,2011,600000,60500,Petrol,Manual,3
91,Maruti Suzuki A,Maruti,2011,189500,12500,Petrol,Automatic,4
92,Toyota Etios GD,Toyota,2013,350000,60000,Diesel,Manual,5
93,Ford Figo Diesel,Ford,2012,210000,35000,Diesel,Automatic,5
94,Maruti Suzuki Swift,Maruti,2014,390000,35000,Petrol,Automatic,1
95,Chevrolet Beat LT,Chevrolet,2012,135000,45000,Diesel,Manual,1
96,BMW 7 Series,BMW,2009,1600000,35000,Petrol,Automatic,2
97,Mahindra XUV500 W8,Mahindra,2013,701000,38000,Diesel,Manual,2
98,Hyundai i10 Magna,Hyundai,2014,265000,18000,Petrol,Automatic,1
99,Hyundai Verna Fluidic,Hyundai,2015,525000,35000,Diesel,Automatic,1
100,Maruti Suzuki Swift,Maruti,2013,372000,13349,Petrol,Automatic,3
101,Maruti Suzuki Ertiga,Maruti,2016,635000,29000,Petrol,Manual,5
102,Ford EcoSport Titanium,Ford,2014,550000,44000,Diesel,Manual,4
103,Maruti Suzuki Ertiga,Maruti,2016,575000,29000,Petrol,Automatic,1
104,Maruti Suzuki Ertiga,Maruti,2013,485000,42000,Diesel,Manual,3
105,Maruti Suzuki Alto,Maruti,2012,155000,14000,Petrol,Automatic,4
106,Hyundai Grand i10,Hyundai,2014,345000,49000,Diesel,Manual,3
107,Honda Amaze 1.2,Honda,2014,325000,42000,Petrol,Manual,4
108,Hyundai i20 Asta,Hyundai,2012,329500,36200,Diesel,Manual,4
109,Ford Figo Diesel,Ford,2014,195000,50000,Diesel,Automatic,5
110,Maruti Suzuki Eeco,Maruti,2015,251111,55000,Petrol,Automatic,5
111,Maruti Suzuki Ertiga,Maruti,2014,569999,45000,Petrol,Manual,5
112,Maruti Suzuki Esteem,Maruti,2007,69999,51000,Petrol,Manual,2
113,Maruti Suzuki Ritz,Maruti,2014,299999,19000,Petrol,Manual,5
114,Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol,Automatic,5
115,Maruti Suzuki Ritz,Maruti,2013,399999,33000,Diesel,Manual,5
116,Maruti Suzuki Swift,Maruti,2013,372000,13349,Petrol,Automatic,1
117,Maruti Suzuki Dzire,Maruti,2015,450000,104000,Diesel,Manual,5
118,Toyota Etios Liva,Toyota,2014,270000,55000,Petrol,Manual,5
119,Hyundai i20 Sportz,Hyundai,2011,350000,33333,Diesel,Automatic,3
120,Chevrolet Spark,Chevrolet,2012,158400,33600,Petrol,Manual,4
121,Maruti Suzuki Alto,Maruti,2017,350000,5600,Petrol,Automatic,1
122,Nissan Micra XV,Nissan,2011,179000,41000,Petrol,Manual,2
123,Maruti Suzuki Swift,Maruti,2007,125000,70000,Petrol,Automatic,1
124,Maruti Suzuki Alto,Maruti,2018,200000,7500,Petrol,Manual,2
125,Honda Amaze 1.5,Honda,2013,299000,45000,Diesel,Manual,4
126,Maruti Suzuki Alto,Maruti,2015,220000,38000,Petrol,Automatic,4
127,Chevrolet Beat,Chevrolet,2015,150000,30000,Petrol,Automatic,4
128,Honda City 1.5,Honda,2010,285000,35000,Petrol,Manual,2
129,Ford EcoSport Trend,Ford,2016,830000,24330,Diesel,Manual,5
130,Hyundai i20 Asta,Hyundai,2009,210000,65480,Petrol,Automatic,2
131,Maruti Suzuki Swift,Maruti,2013,340000,41000,Petrol,Manual,1
132,Tata Indica V2,Tata,2006,90000,20000,Petrol,Automatic,5
133,Hindustan Motors Ambassador,Hindustan,2000,70000,200000,Diesel,Manual,5
134,Toyota Corolla Altis,Toyota,2010,289999,70000,Petrol,Automatic,5
135,Toyota Corolla Altis,Toyota,2012,349999,59000,Petrol,Manual,3
136,Toyota Innova 2.5,Toyota,2012,849999,99000,Diesel,Automatic,4
137,Volkswagen Jetta Highline,Volkswagen,2014,749999,46000,Diesel,Manual,1
138,Volkswagen Polo Comfortline,Volkswagen,2015,399999,2800,Petrol,Manual,4
139,Volkswagen Polo,Volkswagen,2014,274999,32000,Petrol,Manual,4
140,Mahindra Scorpio,Mahindra,2015,984999,22000,Diesel,Automatic,5
141,Renault Duster,Renault,2014,449999,50000,Diesel,Manual,2
142,Honda Amaze,Honda,2015,344999,22000,Petrol,Manual,4
143,Nissan Sunny,Nissan,2012,224999,45000,Petrol,Automatic,1
144,Hyundai Elite i20,Hyundai,2018,599999,21000,Petrol,Manual,2
145,Renault Kwid,Renault,2016,244999,11000,Petrol,Manual,1
146,Renault Duster,Renault,2013,399999,41000,Diesel,Automatic,1
147,Ford EcoSport,Ford,2017,489999,39000,Petrol,Automatic,1
148,Renault Duster,Renault,2014,474999,50000,Diesel,Manual,4
149,Mahindra Scorpio VLX,Mahindra,2011,499999,66000,Diesel,Manual,4
150,Maruti Suzuki Alto,Maruti,2018,310000,3000,Petrol,Manual,1
151,Chevrolet Spark LT,Chevrolet,2010,85000,45000,Petrol,Manual,3
152,Datsun Redi GO,Datsun,2016,245000,7000,Petrol,Manual,2
153,Maruti Suzuki Swift,Maruti,2010,189500,38500,Diesel,Manual,2
154,Fiat Punto Emotion,Fiat,2012,169500,37200,Diesel,Manual,3
155,Maruti Suzuki Swift,Maruti,2010,159500,43200,Diesel,Automatic,5
156,Toyota Etios GD,Toyota,2013,275000,24800,Petrol,Manual,1
157,Hyundai i20 Sportz,Hyundai,2014,370000,60000,Diesel,Manual,3
158,Hyundai i10 Sportz,Hyundai,2010,168000,45872,Petrol,Manual,1
159,Chevrolet Beat LT,Chevrolet,2011,150000,40000,Diesel,Automatic,5
160,Chevrolet Beat LS,Chevrolet,2011,145000,45000,Diesel,Automatic,5
161,Chevrolet Beat LT,Chevrolet,2012,98500,38000,Diesel,Manual,2
162,Mahindra Scorpio VLX,Mahindra,2014,699000,50000,Diesel,Manual,1
163,Tata Indigo CS,Tata,2011,85000,11400,Diesel,Manual,4
164,Toyota Corolla Altis,Toyota,2015,575000,42000,Petrol,Manual,1
165,Honda City 1.5,Honda,2014,549000,39000,Petrol,Automatic,3
166,Maruti Suzuki Swift,Maruti,2011,209000,47000,Diesel,Automatic,4
167,Hyundai Eon Era,Hyundai,2013,185000,27000,Petrol,Manual,3
168,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel,Manual,4
169,Mahindra XUV500,Mahindra,2014,699999,52000,Diesel,Manual,4
170,Honda Brio,Honda,2012,224999,30000,Petrol,Automatic,3
171,Ford Fiesta,Ford,2011,274999,55000,Diesel,Manual,3
172,Honda Amaze,Honda,2013,284999,46000,Diesel,Manual,3
173,Honda City,Honda,2015,599999,30000,Diesel,Automatic,4
174,Maruti Suzuki Wagon,Maruti,2012,199999,44000,Petrol,Automatic,3
175,Honda City,Honda,2014,544999,45000,Diesel,Automatic,5
176,Hyundai i20,Hyundai,2009,199000,31000,Petrol,Automatic,3
177,Tata Indigo eCS,Tata,2016,320000,175430,Diesel,Automatic,1
178,Hyundai Fluidic Verna,Hyundai,2015,540000,38000,Diesel,Automatic,2
179,Mahindra Quanto C8,Mahindra,2013,340000,37000,Diesel,Automatic,3
180,Fiat Petra ELX,Fiat,2008,75000,65000,Petrol,Manual,5
181,Skoda Fabia 1.2L,Skoda,2011,159500,38200,Diesel,Manual,5
182,Mini Cooper S,Mini,2013,1891111,13000,Petrol,Automatic,2
183,Hyundai Santro Xing,Hyundai,2005,49000,7500,Petrol,Manual,3
184,Maruti Suzuki Ciaz,Maruti,2016,700000,3350,Petrol,Manual,1
185,Maruti Suzuki Zen,Maruti,2000,55000,60000,Petrol,Automatic,2
186,Honda City,Honda,2015,448999,54000,Petrol,Manual,2
187,Hyundai Creta 1.6,Hyundai,2017,895000,32000,Petrol,Manual,2
188,Mahindra Scorpio SLX,Mahindra,2007,355000,75000,Diesel,Manual,5
189,Mahindra Scorpio SLE,Mahindra,2012,565000,62000,Diesel,Manual,4
190,Toyota Innova 2.5,Toyota,2006,365000,73000,Diesel,Manual,4
191,Maruti Suzuki Alto,Maruti,2011,145000,41000,Petrol,Manual,4
192,Maruti Suzuki Wagon,Maruti,2011,210000,35000,Petrol,Manual,4
193,Tata Nano Cx,Tata,2013,40000,2200,Petrol,Manual,2
194,Maruti Suzuki Alto,Maruti,2013,125000,39000,Petrol,Automatic,3
195,Maruti Suzuki Wagon,Maruti,2009,135000,45000,Petrol,Automatic,2
196,Maruti Suzuki Swift,Maruti,2006,135000,45000,Petrol,Automatic,5
197,Tata Sumo Victa,Tata,2012,285000,65000,Diesel,Automatic,3
198,Maruti Suzuki Wagon,Maruti,2010,145000,54870,Petrol,Manual,1
199,Maruti Suzuki Alto,Maruti,2010,135000,34580,Petrol,Manual,5
200,Volkswagen Passat Diesel,Volkswagen,2009,450000,97000,Diesel,Manual,3
201,Renault Scala RxL,Renault,2015,375000,25000,Diesel,Manual,3
202,Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel,Automatic,5
203,Hyundai Grand i10,Hyundai,2014,365000,20000,Petrol,Manual,5
204,Hyundai i20 Active,Hyundai,2015,500000,18000,Petrol,Manual,2
205,Mahindra Xylo E4,Mahindra,2012,400000,35000,Diesel,Automatic,2
206,Mahindra Jeep MM,Mahindra,2019,390000,60,Diesel,Automatic,3
207,Renault Duster 110PS,Renault,2012,501000,35000,Diesel,Automatic,1
208,Mahindra Bolero SLE,Mahindra,2013,330000,80200,Diesel,Automatic,4
209,Force Motors Force,Force,2015,580000,3200,Diesel,Manual,5
210,Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel,Automatic,5
211,Mahindra Jeep CL550,Mahindra,2019,379000,0,Diesel,Manual,3
212,Maruti Suzuki Alto,Maruti,2015,219000,5000,Petrol,Automatic,3
213,Mahindra Jeep CL550,Mahindra,2018,385000,588,Diesel,Manual,1
214,Toyota Etios,Toyota,2011,275000,36000,Diesel,Automatic,1
215,Volkswagen Polo,Volkswagen,2015,330000,38000,Diesel,Automatic,5
216,Honda City ZX,Honda,2008,110000,45000,Petrol,Manual,3
217,Maruti Suzuki Wagon,Maruti,2006,80000,71200,Petrol,Automatic,4
218,Honda City VX,Honda,2016,519000,52000,Diesel,Automatic,5
219,Mahindra Thar CRDe,Mahindra,2016,730000,29000,Diesel,Manual,1
220,Mitsubishi Pajero Sport,Mitsubishi,2015,1475000,47000,Diesel,Automatic,3
221,Audi A4 1.8,Audi,2009,699000,47000,Petrol,Automatic,4
222,Mercedes Benz GLA,Mercedes,2015,2000000,20000,Diesel,Manual,5
223,Land Rover Freelander,Land,2015,2100000,30000,Diesel,Manual,3
224,Renault Kwid RXT,Renault,2017,340000,5000,Petrol,Automatic,2
225,Tata Aria Pleasure,Tata,2014,390000,35000,Diesel,Manual,5
226,Mercedes Benz B,Mercedes,2014,1400000,31000,Petrol,Automatic,2
227,Datsun GO T,Datsun,2016,245000,7000,Petrol,Automatic,4
228,Tata Indigo eCS,Tata,2016,320000,175430,Diesel,Manual,3
229,Tata Indigo eCS,Tata,2016,320000,175400,Diesel,Automatic,2
230,Honda Jazz VX,Honda,2016,450000,41000,Petrol,Automatic,2
231,Honda Amaze 1.2,Honda,2014,311000,33000,Petrol,Automatic,5
232,Honda Amaze,Honda,2013,284999,46000,Diesel,Manual,4
233,Honda City,Honda,2012,399999,45000,Petrol,Automatic,2
234,Honda City,Honda,2015,599999,39000,Diesel,Automatic,2
235,Honda Amaze,Honda,2015,344999,22000,Petrol,Automatic,5
236,Audi A4 1.8,Audi,2009,699000,47000,Petrol,Manual,3
237,Force Motors Force,Force,2015,580000,3200,Diesel,Automatic,2
238,Mahindra Scorpio S4,Mahindra,2015,855000,30000,Diesel,Automatic,5
239,Hyundai i20 Active,Hyundai,2015,535000,37000,Diesel,Manual,1
240,Mini Cooper S,Mini,2013,1891111,13000,Petrol,Manual,5
241,Maruti Suzuki Ciaz,Maruti,2017,699000,14000,Petrol,Manual,4
242,Chevrolet Tavera Neo,Chevrolet,2013,375000,55000,Diesel,Manual,4
243,Honda Amaze,Honda,2013,284999,46000,Diesel,Manual,3
244,Hyundai Eon Sportz,Hyundai,2012,178000,30000,Petrol,Manual,5
245,Tata Sumo Gold,Tata,2013,300000,50000,Diesel,Automatic,3
246,Maruti Suzuki Wagon,Maruti,2003,90000,45000,Petrol,Manual,4
247,Maruti Suzuki Esteem,Maruti,2006,95000,45000,Petrol,Manual,1
248,Maruti Suzuki Eeco,Maruti,2015,255000,9300,Petrol,Automatic,5
249,Chevrolet Enjoy 1.4,Chevrolet,2013,245000,55000,Diesel,Manual,1
250,Hyundai i20 Asta,Hyundai,2012,329500,36200,Diesel,Automatic,2
251,Ford Figo Diesel,Ford,2014,195000,50000,Diesel,Automatic,5
252,Maruti Suzuki Eeco,Maruti,2015,251111,55000,Petrol,Manual,2
253,Maruti Suzuki Ertiga,Maruti,2014,569999,45000,Petrol,Automatic,1
254,Maruti Suzuki Esteem,Maruti,2007,69999,51000,Petrol,Manual,4
255,Maruti Suzuki Ritz,Maruti,2014,299999,19000,Petrol,Manual,5
256,Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol,Automatic,4
257,Maruti Suzuki Ritz,Maruti,2013,399999,33000,Diesel,Automatic,4
258,Maruti Suzuki SX4,Maruti,2010,249999,36000,Petrol,Automatic,2
259,Maruti Suzuki Wagon,Maruti,2015,289999,22000,Petrol,Manual,1
260,Mini Cooper S,Mini,2013,1891111,13500,Petrol,Manual,4
261,Nissan Terrano XL,Nissan,2015,499999,60000,Diesel,Automatic,4
262,Renault Duster 85,Renault,2013,489999,27000,Diesel,Automatic,4
263,Renault Duster 85,Renault,2014,489999,59000,Diesel,Automatic,4
264,Renault Duster 85,Renault,2015,549999,19000,Diesel,Manual,2
265,Maruti Suzuki Dzire,Maruti,2013,380000,30000,Petrol,Manual,4
266,Renault Kwid RXT,Renault,2018,325000,15000,Petrol,Manual,5
267,Maruti Suzuki Maruti,Maruti,2003,57000,56758,Petrol,Manual,2
268,Renault Kwid 1.0,Renault,2018,349999,10000,Petrol,Manual,5
269,Renault Lodgy 85,Renault,2018,689999,20000,Diesel,Automatic,5
270,Renault Scala RxL,Renault,2014,349999,49000,Diesel,Manual,2
271,Hyundai Grand i10,Hyundai,2014,410000,41000,Petrol,Automatic,1
